Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,OverallQual**2,OverallQual**3,OverallQualsqrt,GrLivArea**2,GrLivArea**3,GrLivAreasqrt,GarageCars**2,GarageCars**3,GarageCarssqrt,GarageArea**2,GarageArea**3,GarageAreasqrt,TotalBsmtSF**2,TotalBsmtSF**3,TotalBsmtSFsqrt,1stFlrSF**2,1stFlrSF**3,1stFlrSFsqrt,FullBath**2,FullBath**3,FullBathsqrt,YearBuilt**2,YearBuilt**3,YearBuiltsqrt,TotRmsAbvGrd**2,TotRmsAbvGrd**3,TotRmsAbvGrdsqrt,YearRemodAdd**2,YearRemodAdd**3,YearRemodAddsqrt
11,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,No,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,2,2008,WD,Normal,129500,25,125,2.23606797749979,1081600,1124864000,32.2490309931942,1,1,1.0,147456,56623104,19.595917942265423,1081600,1124864000,32.2490309931942,1081600,1124864000,32.2490309931942,1,1,1.0,3861225,7587307125,44.328320518603,25,125,2.23606797749979,3861225,7587307125,44.328320518603
12,60,RL,85.0,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,No,No,No,0,7,2006,New,Partial,345000,81,729,3.0,5400976,12551868224,48.2078831727758,9,27,1.7320508075688772,541696,398688256,27.129319932501073,1380625,1622234375,34.27827300200522,1397124,1651400568,34.38022687534217,9,27,1.7320508075688772,4020025,8060150125,44.77722635447622,121,1331,3.3166247903554,4024036,8072216216,44.78839135311738
13,20,RL,0.0,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,No,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,No,No,No,0,9,2008,WD,Normal,144000,25,125,2.23606797749979,831744,758550528,30.199337741083,1,1,1.0,123904,43614208,18.76166303929372,831744,758550528,30.199337741083,831744,758550528,30.199337741083,1,1,1.0,3849444,7552609128,44.294469180700204,16,64,2.0,3849444,7552609128,44.294469180700204
14,20,RL,91.0,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,No,No,No,0,8,2007,New,Partial,279500,49,343,2.6457513110645907,2232036,3334661784,38.65229618017538,9,27,1.7320508075688772,705600,592704000,28.982753492378876,2232036,3334661784,38.65229618017538,2232036,3334661784,38.65229618017538,4,8,1.4142135623730951,4024036,8072216216,44.78839135311738,49,343,2.6457513110645907,4028049,8084294343,44.799553569204235
15,20,RL,0.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,No,GdWo,No,0,5,2008,WD,Normal,157000,36,216,2.449489742783178,1570009,1967221277,35.397740040855716,1,1,1.0,123904,43614208,18.76166303929372,1570009,1967221277,35.397740040855716,1570009,1967221277,35.397740040855716,1,1,1.0,3841600,7529536000,44.27188724235731,25,125,2.23606797749979,3841600,7529536000,44.27188724235731
16,45,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,No,GdPrv,No,0,7,2007,WD,Normal,132000,49,343,2.6457513110645907,729316,622835864,29.223278392404914,4,8,1.4142135623730951,331776,191102976,24.0,692224,575930368,28.844410203711913,729316,622835864,29.223278392404914,1,1,1.0,3721041,7177888089,43.9203825119955,25,125,2.23606797749979,4004001,8012006001,44.73253849269008
17,20,RL,0.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,No,No,Shed,700,3,2010,WD,Normal,149000,36,216,2.449489742783178,1008016,1012048064,31.68595903550972,4,8,1.4142135623730951,230400,110592000,21.908902300206645,1008016,1012048064,31.68595903550972,1008016,1012048064,31.68595903550972,1,1,1.0,3880900,7645373000,44.384682042344295,25,125,2.23606797749979,3880900,7645373000,44.384682042344295
18,90,RL,72.0,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,No,No,No,No,0,No,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,No,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,No,No,Shed,500,10,2006,WD,Normal,90000,16,64,2.0,1679616,2176782336,36.0,4,8,1.4142135623730951,266256,137388096,22.715633383201094,0,0,0.0,1679616,2176782336,36.0,4,8,1.4142135623730951,3869089,7610498063,44.35087372307337,36,216,2.449489742783178,3869089,7610498063,44.35087372307337
19,20,RL,66.0,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,No,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,No,No,No,0,6,2008,WD,Normal,159000,25,125,2.23606797749979,1240996,1382469544,33.37663853655727,4,8,1.4142135623730951,331776,191102976,24.0,1240996,1382469544,33.37663853655727,1240996,1382469544,33.37663853655727,1,1,1.0,4016016,8048096064,44.76605857119878,36,216,2.449489742783178,4016016,8048096064,44.76605857119878
20,20,RL,70.0,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,No,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,No,0,5,2009,COD,Abnorml,139000,25,125,2.23606797749979,1792921,2400721219,36.59234892706397,1,1,1.0,86436,25412184,17.146428199482248,1058841,1089547389,32.07802986469088,1792921,2400721219,36.59234892706397,1,1,1.0,3833764,7506509912,44.24929377967517,36,216,2.449489742783178,3861225,7587307125,44.328320518603
21,60,RL,101.0,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,No,No,No,0,11,2006,New,Partial,325300,64,512,2.8284271247461903,5645376,13413413376,48.744230427815765,9,27,1.7320508075688772,727609,620650477,29.206163733020468,1340964,1552836312,34.02939905434711,1340964,1552836312,34.02939905434711,9,27,1.7320508075688772,4020025,8060150125,44.77722635447622,81,729,3.0,4024036,8072216216,44.78839135311738
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,No,GdPrv,No,0,6,2007,WD,Normal,139400,49,343,2.6457513110645907,1227664,1360251712,33.28663395418648,1,1,1.0,78400,21952000,16.73320053068151,405769,258474853,25.238858928247925,1227664,1360251712,33.28663395418648,1,1,1.0,3724900,7189057000,43.93176527297759,36,216,2.449489742783178,3802500,7414875000,44.15880433163923
23,20,RL,75.0,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,No,No,No,0,9,2008,WD,Normal,230000,64,512,2.8284271247461903,3222025,5783534875,42.36744032862972,4,8,1.4142135623730951,285156,152273304,23.108440016582687,3157729,5611284433,42.15447781671598,3222025,5783534875,42.36744032862972,4,8,1.4142135623730951,4008004,8024024008,44.74371464239419,49,343,2.6457513110645907,4008004,8024024008,44.74371464239419
24,120,RM,44.0,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,No,No,No,0,6,2007,WD,Normal,129900,25,125,2.23606797749979,1123600,1191016000,32.55764119219941,4,8,1.4142135623730951,327184,187149248,23.916521486202797,1081600,1124864000,32.2490309931942,1123600,1191016000,32.55764119219941,1,1,1.0,3904576,7715442176,44.45222154178574,36,216,2.449489742783178,3904576,7715442176,44.45222154178574
25,20,RL,0.0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,No,MnPrv,No,0,5,2010,WD,Normal,154000,25,125,2.23606797749979,1123600,1191016000,32.55764119219941,1,1,1.0,72900,19683000,16.431676725154983,1123600,1191016000,32.55764119219941,1123600,1191016000,32.55764119219941,1,1,1.0,3873024,7622111232,44.36214602563767,36,216,2.449489742783178,4004001,8012006001,44.73253849269008
26,20,RL,110.0,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,No,No,No,0,7,2009,WD,Normal,256300,64,512,2.8284271247461903,2560000,4096000000,40.0,9,27,1.7320508075688772,792100,704969000,29.832867780352597,2452356,3840389496,39.57271787481876,2560000,4096000000,40.0,4,8,1.4142135623730951,4028049,8084294343,44.799553569204235,49,343,2.6457513110645907,4028049,8084294343,44.799553569204235
27,20,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,No,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,No,No,No,0,5,2010,WD,Normal,134800,25,125,2.23606797749979,810000,729000000,30.0,4,8,1.4142135623730951,331776,191102976,24.0,810000,729000000,30.0,810000,729000000,30.0,1,1,1.0,3806401,7426288351,44.170125650715555,25,125,2.23606797749979,4000000,8000000000,44.721359549995796
28,20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,No,No,No,0,5,2010,WD,Normal,306000,64,512,2.8284271247461903,2903616,4947761664,41.27953488110059,9,27,1.7320508075688772,595984,460099648,27.784887978899608,2903616,4947761664,41.27953488110059,2903616,4947761664,41.27953488110059,4,8,1.4142135623730951,4028049,8084294343,44.799553569204235,49,343,2.6457513110645907,4032064,8096384512,44.81071300481616
29,20,RL,47.0,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,No,No,No,0,12,2006,WD,Normal,207500,25,125,2.23606797749979,2560000,4096000000,40.0,1,1,1.0,101761,32461759,17.86057109949175,2202256,3268147904,38.52272056851645,2560000,4096000000,40.0,1,1,1.0,3829849,7495014493,44.23799272118933,36,216,2.449489742783178,3988009,7964053973,44.68780594300866
30,30,RM,60.0,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,No,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,No,No,No,0,5,2008,WD,Normal,68500,16,64,2.0,270400,140608000,22.80350850198276,1,1,1.0,57600,13824000,15.491933384829668,270400,140608000,22.80350850198276,270400,140608000,22.80350850198276,1,1,1.0,3713329,7155584983,43.89760813529594,16,64,2.0,3802500,7414875000,44.15880433163923
